Sample,X,Y,Z
847,0.039,-0.211,0.965
848,0.125,-0.230,1.043
849,-0.070,0.004,1.066
850,-0.070,0.121,1.004
851,-0.113,-0.039,1.074
852,-0.223,-0.082,1.055
853,-0.105,0.059,1.117
854,-0.172,-0.055,0.945
855,0.156,0.066,0.832
856,0.094,-0.098,0.832
857,0.105,-0.066,0.871
858,-0.230,-0.184,0.949
859,0.121,0.008,1.027
860,-0.285,0.172,1.148
861,-0.090,-0.062,1.055
862,-0.066,-0.160,0.961
863,-0.086,0.035,1.008
864,0.059,0.121,1.035
865,0.188,-0.035,0.930
866,0.137,-0.168,0.977
867,0.133,-0.012,1.051
868,0.000,0.039,1.043
869,0.102,-0.113,0.859
870,0.242,-0.184,0.785
871,-0.016,-0.137,0.969
872,-0.262,0.039,1.184
873,-0.004,0.180,1.152
874,-0.148,0.023,0.977
875,0.207,-0.086,0.859
876,0.219,-0.078,0.879
877,-0.031,0.012,1.012
878,0.086,0.062,1.086
879,-0.133,0.004,1.062
880,0.059,-0.008,1.012
881,-0.238,-0.145,0.953
882,-0.148,-0.234,1.000
883,-0.273,-0.082,1.066
884,-0.336,0.066,1.113
885,0.094,-0.035,0.922
886,0.031,-0.133,0.898
887,-0.102,-0.172,0.883
888,-0.102,-0.172,0.883
889,0.066,-0.199,1.031
890,-0.117,-0.152,1.016
891,0.270,-0.031,1.016
892,-0.156,-0.230,0.922
893,0.266,-0.367,0.895
894,-0.273,-0.391,1.008
895,-0.137,-0.082,1.137
896,-0.148,-0.039,1.180
897,-0.008,-0.223,0.961
898,0.207,-0.277,0.914
899,-0.059,-0.227,0.973
900,0.180,-0.188,1.062
901,0.105,-0.266,0.949
902,0.305,-0.398,0.875
903,0.105,-0.328,0.867
904,0.102,-0.195,1.016
905,-0.148,-0.402,1.102
906,-0.094,-0.379,1.117
907,-0.078,-0.109,1.121
908,-0.020,-0.133,1.047
909,0.137,-0.395,0.867
910,0.113,-0.348,0.906
911,-0.070,-0.184,0.977
912,0.074,-0.176,0.953
913,-0.027,-0.355,0.949
914,0.031,-0.367,0.926
915,-0.098,-0.105,1.090
916,-0.340,-0.102,0.992
917,-0.078,-0.395,0.945
918,0.004,-0.297,0.953
919,-0.027,-0.031,1.039
920,-0.102,-0.117,1.004
921,-0.027,-0.383,1.000
922,0.051,-0.191,1.145
